run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
104,Hash Table Lookup,500,148400,0.0,3,2026-08-19T09:16:47.095651700
105,Hash Table Insert,1000,188000,0.0,1,2026-08-19T09:16:47.095651700
106,Hash Table Lookup,1000,253800,0.0,1,2026-08-19T09:16:47.095651700
107,Hash Table Insert,1000,193200,0.0,2,2026-08-19T09:16:47.095651700
108,Hash Table Lookup,1000,247300,0.0,2,2026-08-19T09:16:47.095651700
109,Hash Table Insert,1000,189300,0.0,3,2026-08-19T09:16:47.095651700
110,Hash Table Lookup,1000,248400,0.0,3,2026-08-19T09:16:47.095651700
111,Hash Table Insert,5000,768800,1023.984375,1,2026-08-19T09:16:47.095651700
112,Hash Table Lookup,5000,1282600,1024.015625,1,2026-08-19T09:16:47.095651700
113,Hash Table Insert,5000,878600,0.0,2,2026-08-19T09:16:47.095651700
114,Hash Table Lookup,5000,1063000,1023.984375,2,2026-08-19T09:16:47.095651700
115,Hash Table Insert,5000,735600,0.0,3,2026-08-19T09:16:47.095651700
116,Hash Table Lookup,5000,973100,1024.0234375,3,2026-08-19T09:16:47.095651700
117,Hash Table Insert,10000,1428300,1023.9765625,1,2026-08-19T09:16:47.095651700
118,Hash Table Lookup,10000,1848400,1024.0234375,1,2026-08-19T09:16:47.095651700
119,Hash Table Insert,10000,1381600,1023.9765625,2,2026-08-19T09:16:47.095651700
120,Hash Table Lookup,10000,1616200,1024.0234375,2,2026-08-19T09:16:47.095651700
121,Hash Table Insert,10000,1153900,1023.9765625,3,2026-08-19T09:16:47.095651700
122,Hash Table Lookup,10000,1619000,1024.0234375,3,2026-08-19T09:16:47.095651700
123,Hash Table Insert,20000,1963300,2048.0,1,2026-08-19T09:16:47.095651700
124,Hash Table Lookup,20000,3316400,2048.0,1,2026-08-19T09:16:47.095651700
125,Hash Table Insert,20000,1399300,2189.9921875,2,2026-08-19T09:16:47.095651700
126,Hash Table Lookup,20000,1839000,1906.0078125,2,2026-08-19T09:16:47.095651700
127,Hash Table Insert,20000,1214100,2048.0,3,2026-08-19T09:16:47.095651700
128,Hash Table Lookup,20000,1638700,3071.9765625,3,2026-08-19T09:16:47.095651700
129,Min Heap Insert,100,2621300,0.0,1,2026-08-19T09:16:47.095651700
130,Min Heap Extract,100,215700,0.0,1,2026-08-19T09:16:47.095651700
131,Min Heap Insert,100,64500,0.0,2,2026-08-19T09:16:47.095651700
132,Min Heap Extract,100,176800,0.0,2,2026-08-19T09:16:47.095651700
133,Min Heap Insert,100,72000,0.0,3,2026-08-19T09:16:47.095651700
134,Min Heap Extract,100,162000,0.0,3,2026-08-19T09:16:47.095651700
135,Min Heap Insert,500,135800,0.0,1,2026-08-19T09:16:47.095651700
136,Min Heap Extract,500,747400,0.0,1,2026-08-19T09:16:47.095651700
137,Min Heap Insert,500,121600,0.0,2,2026-08-19T09:16:47.095651700
138,Min Heap Extract,500,267500,0.0,2,2026-08-19T09:16:47.095651700
139,Min Heap Insert,500,121300,0.0,3,2026-08-19T09:16:47.095651700
140,Min Heap Extract,500,273000,0.0,3,2026-08-19T09:16:47.095651700
